Kriterium,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Stellensuchende Männer,4027,3828,1561,2798,2497,4052,4155,3004,3057,3311,3099,3336,3814,3777,3296,3088,4075,4226,3261,2800,3414
Stellensuchende Frauen,3225,3248,1443,2632,2370,2998,3156,2525,2551,2766,2537,2759,3060,3083,2884,2630,3306,3602,2845,2384,2668
Stellensuchende CH,4205,4219,1775,3078,2646,3905,4090,3169,3233,3456,3164,3388,3807,3750,3335,2954,3855,3899,2961,2439,2760
Stellensuchende Ausländer,3047,2857,1229,2351,2222,3145,3221,2359,2375,2621,2473,2706,3067,3110,2845,2764,3526,3934,3144,2745,3322
Stellensuchende unter_20,576,556,271,453,421,486,423,297,294,310,253,297,286,282,257,243,273,238,165,165,190
Stellensuchende 20-24 jährig,1105,1063,410,737,607,1011,958,650,674,715,625,681,691,603,538,476,665,600,395,359,467
Stellensuchende 25-29 jährig,894,791,336,626,591,918,935,694,730,809,761,792,921,872,768,729,951,922,696,582,716
Stellensuchende 30-39 jährig,1661,1561,591,1076,976,1451,1477,1102,1171,1304,1257,1354,1599,1643,1442,1380,1749,1941,1539,1327,1522
Stellensuchende 40-49 jährig,1564,1574,684,1218,1090,1546,1591,1217,1213,1314,1211,1262,1397,1346,1210,1125,1497,1605,1235,1060,1249
Stellensuchende 50-59 jährig,1108,1157,499,899,815,1185,1359,1086,1097,1203,1102,1231,1432,1543,1401,1229,1577,1722,1344,1067,1268
Stellensuchende 60 und älter,345,374,214,420,368,453,567,484,430,422,427,478,549,571,565,536,669,805,731,624,669
