jahr	bezirk	kanton	typ	anzahl
1990	Bezirk Bucheggberg	SO	Leichte Motorwagen	5946
1991	Bezirk Bucheggberg	SO	Leichte Motorwagen	5951
1992	Bezirk Bucheggberg	SO	Leichte Motorwagen	5954
1993	Bezirk Bucheggberg	SO	Leichte Motorwagen	5954
1994	Bezirk Bucheggberg	SO	Leichte Motorwagen	5959
1995	Bezirk Bucheggberg	SO	Leichte Motorwagen	5962
1996	Bezirk Bucheggberg	SO	Leichte Motorwagen	5964
1997	Bezirk Bucheggberg	SO	Leichte Motorwagen	5966
1998	Bezirk Bucheggberg	SO	Leichte Motorwagen	5969
1999	Bezirk Bucheggberg	SO	Leichte Motorwagen	5973
2000	Bezirk Bucheggberg	SO	Leichte Motorwagen	5974
2001	Bezirk Bucheggberg	SO	Leichte Motorwagen	5978
2002	Bezirk Bucheggberg	SO	Leichte Motorwagen	5983
2003	Bezirk Bucheggberg	SO	Leichte Motorwagen	5983
2004	Bezirk Bucheggberg	SO	Leichte Motorwagen	5983
2005	Bezirk Bucheggberg	SO	Leichte Motorwagen	5986
2006	Bezirk Bucheggberg	SO	Leichte Motorwagen	5983
2007	Bezirk Bucheggberg	SO	Leichte Motorwagen	5985
2008	Bezirk Bucheggberg	SO	Leichte Motorwagen	5985
2009	Bezirk Bucheggberg	SO	Leichte Motorwagen	5989
2010	Bezirk Bucheggberg	SO	Leichte Motorwagen	5989
2011	Bezirk Bucheggberg	SO	Leichte Motorwagen	5992
2012	Bezirk Bucheggberg	SO	Leichte Motorwagen	5994
2013	Bezirk Bucheggberg	SO	Leichte Motorwagen	5996
2014	Bezirk Bucheggberg	SO	Leichte Motorwagen	5991
2015	Bezirk Bucheggberg	SO	Leichte Motorwagen	5993
2016	Bezirk Bucheggberg	SO	Leichte Motorwagen	5993
2017	Bezirk Bucheggberg	SO	Leichte Motorwagen	5997
2018	Bezirk Bucheggberg	SO	Leichte Motorwagen	6002
2019	Bezirk Bucheggberg	SO	Leichte Motorwagen	6004
2020	Bezirk Bucheggberg	SO	Leichte Motorwagen	6007
2021	Bezirk Bucheggberg	SO	Leichte Motorwagen	6009
2022	Bezirk Bucheggberg	SO	Leichte Motorwagen	6012
2023	Bezirk Bucheggberg	SO	Leichte Motorwagen	6015
1990	Bezirk Bucheggberg	SO	Schwere Motorwagen	-289
1991	Bezirk Bucheggberg	SO	Schwere Motorwagen	0
1992	Bezirk Bucheggberg	SO	Schwere Motorwagen	1
1993	Bezirk Bucheggberg	SO	Schwere Motorwagen	2
1994	Bezirk Bucheggberg	SO	Schwere Motorwagen	5
1995	Bezirk Bucheggberg	SO	Schwere Motorwagen	10
1996	Bezirk Bucheggberg	SO	Schwere Motorwagen	10
1997	Bezirk Bucheggberg	SO	Schwere Motorwagen	11
1998	Bezirk Bucheggberg	SO	Schwere Motorwagen	16
1999	Bezirk Bucheggberg	SO	Schwere Motorwagen	19
2000	Bezirk Bucheggberg	SO	Schwere Motorwagen	22
2001	Bezirk Bucheggberg	SO	Schwere Motorwagen	17
2002	Bezirk Bucheggberg	SO	Schwere Motorwagen	19
2003	Bezirk Bucheggberg	SO	Schwere Motorwagen	22
2004	Bezirk Bucheggberg	SO	Schwere Motorwagen	26
2005	Bezirk Bucheggberg	SO	Schwere Motorwagen	31
2006	Bezirk Bucheggberg	SO	Schwere Motorwagen	26
2007	Bezirk Bucheggberg	SO	Schwere Motorwagen	28
2008	Bezirk Bucheggberg	SO	Schwere Motorwagen	32
2009	Bezirk Bucheggberg	SO	Schwere Motorwagen	33
2010	Bezirk Bucheggberg	SO	Schwere Motorwagen	35
2011	Bezirk Bucheggberg	SO	Schwere Motorwagen	38
2012	Bezirk Bucheggberg	SO	Schwere Motorwagen	43
2013	Bezirk Bucheggberg	SO	Schwere Motorwagen	46
2014	Bezirk Bucheggberg	SO	Schwere Motorwagen	50
2015	Bezirk Bucheggberg	SO	Schwere Motorwagen	54
2016	Bezirk Bucheggberg	SO	Schwere Motorwagen	59
2017	Bezirk Bucheggberg	SO	Schwere Motorwagen	59
2018	Bezirk Bucheggberg	SO	Schwere Motorwagen	54
2019	Bezirk Bucheggberg	SO	Schwere Motorwagen	52
2020	Bezirk Bucheggberg	SO	Schwere Motorwagen	53
2021	Bezirk Bucheggberg	SO	Schwere Motorwagen	52
2022	Bezirk Bucheggberg	SO	Schwere Motorwagen	52
2023	Bezirk Bucheggberg	SO	Schwere Motorwagen	53
1990	Bezirk Bucheggberg	SO	Anhänger	497
1991	Bezirk Bucheggberg	SO	Anhänger	497
1992	Bezirk Bucheggberg	SO	Anhänger	496
1993	Bezirk Bucheggberg	SO	Anhänger	497
1994	Bezirk Bucheggberg	SO	Anhänger	502
1995	Bezirk Bucheggberg	SO	Anhänger	507
1996	Bezirk Bucheggberg	SO	Anhänger	506
1997	Bezirk Bucheggberg	SO	Anhänger	511
1998	Bezirk Bucheggberg	SO	Anhänger	511
1999	Bezirk Bucheggberg	SO	Anhänger	516
2000	Bezirk Bucheggberg	SO	Anhänger	521
2001	Bezirk Bucheggberg	SO	Anhänger	522
2002	Bezirk Bucheggberg	SO	Anhänger	523
2003	Bezirk Bucheggberg	SO	Anhänger	524
2004	Bezirk Bucheggberg	SO	Anhänger	527
2005	Bezirk Bucheggberg	SO	Anhänger	532
2006	Bezirk Bucheggberg	SO	Anhänger	532
2007	Bezirk Bucheggberg	SO	Anhänger	536
2008	Bezirk Bucheggberg	SO	Anhänger	540
2009	Bezirk Bucheggberg	SO	Anhänger	541
2010	Bezirk Bucheggberg	SO	Anhänger	541
2011	Bezirk Bucheggberg	SO	Anhänger	543
2012	Bezirk Bucheggberg	SO	Anhänger	547
2013	Bezirk Bucheggberg	SO	Anhänger	547
2014	Bezirk Bucheggberg	SO	Anhänger	552
2015	Bezirk Bucheggberg	SO	Anhänger	552
2016	Bezirk Bucheggberg	SO	Anhänger	552
2017	Bezirk Bucheggberg	SO	Anhänger	556
2018	Bezirk Bucheggberg	SO	Anhänger	557
2019	Bezirk Bucheggberg	SO	Anhänger	557
2020	Bezirk Bucheggberg	SO	Anhänger	561
2021	Bezirk Bucheggberg	SO	Anhänger	557
2022	Bezirk Bucheggberg	SO	Anhänger	558
2023	Bezirk Bucheggberg	SO	Anhänger	559
1990	Bezirk Bucheggberg	SO	Landw. FZ Ind. Trak.	363
1991	Bezirk Bucheggberg	SO	Landw. FZ Ind. Trak.	367
1992	Bezirk Bucheggberg	SO	Landw. FZ Ind. Trak.	367
1993	Bezirk Bucheggberg	SO	Landw. FZ Ind. Trak.	370
1994	Bezirk Bucheggberg	SO	Landw. FZ Ind. Trak.	370
1995	Bezirk Bucheggberg	SO	Landw. FZ Ind. Trak.	367
1996	Bezirk Bucheggberg	SO	Landw. FZ Ind. Trak.	367
1997	Bezirk Bucheggberg	SO	Landw. FZ Ind. Trak.	371
1998	Bezirk Bucheggberg	SO	Landw. FZ Ind. Trak.	372
1999	Bezirk Bucheggberg	SO	Landw. FZ Ind. Trak.	377
2000	Bezirk Bucheggberg	SO	Landw. FZ Ind. Trak.	380
2001	Bezirk Bucheggberg	SO	Landw. FZ Ind. Trak.	383
2002	Bezirk Bucheggberg	SO	Landw. FZ Ind. Trak.	386
2003	Bezirk Bucheggberg	SO	Landw. FZ Ind. Trak.	387
2004	Bezirk Bucheggberg	SO	Landw. FZ Ind. Trak.	392
2005	Bezirk Bucheggberg	SO	Landw. FZ Ind. Trak.	392
2006	Bezirk Bucheggberg	SO	Landw. FZ Ind. Trak.	397
2007	Bezirk Bucheggberg	SO	Landw. FZ Ind. Trak.	402
2008	Bezirk Bucheggberg	SO	Landw. FZ Ind. Trak.	407
2009	Bezirk Bucheggberg	SO	Landw. FZ Ind. Trak.	404
2010	Bezirk Bucheggberg	SO	Landw. FZ Ind. Trak.	404
2011	Bezirk Bucheggberg	SO	Landw. FZ Ind. Trak.	399
2012	Bezirk Bucheggberg	SO	Landw. FZ Ind. Trak.	398
2013	Bezirk Bucheggberg	SO	Landw. FZ Ind. Trak.	403
2014	Bezirk Bucheggberg	SO	Landw. FZ Ind. Trak.	406
2015	Bezirk Bucheggberg	SO	Landw. FZ Ind. Trak.	409
2016	Bezirk Bucheggberg	SO	Landw. FZ Ind. Trak.	412
2017	Bezirk Bucheggberg	SO	Landw. FZ Ind. Trak.	416
2018	Bezirk Bucheggberg	SO	Landw. FZ Ind. Trak.	416
2019	Bezirk Bucheggberg	SO	Landw. FZ Ind. Trak.	421
2020	Bezirk Bucheggberg	SO	Landw. FZ Ind. Trak.	421
2021	Bezirk Bucheggberg	SO	Landw. FZ Ind. Trak.	425
2022	Bezirk Bucheggberg	SO	Landw. FZ Ind. Trak.	426
2023	Bezirk Bucheggberg	SO	Landw. FZ Ind. Trak.	431
1990	Bezirk Bucheggberg	SO	Motorräder	596
1991	Bezirk Bucheggberg	SO	Motorräder	596
1992	Bezirk Bucheggberg	SO	Motorräder	600
1993	Bezirk Bucheggberg	SO	Motorräder	605
1994	Bezirk Bucheggberg	SO	Motorräder	607
1995	Bezirk Bucheggberg	SO	Motorräder	610
1996	Bezirk Bucheggberg	SO	Motorräder	610
1997	Bezirk Bucheggberg	SO	Motorräder	612
1998	Bezirk Bucheggberg	SO	Motorräder	616
1999	Bezirk Bucheggberg	SO	Motorräder	620
2000	Bezirk Bucheggberg	SO	Motorräder	624
2001	Bezirk Bucheggberg	SO	Motorräder	627
2002	Bezirk Bucheggberg	SO	Motorräder	632
2003	Bezirk Bucheggberg	SO	Motorräder	635
2004	Bezirk Bucheggberg	SO	Motorräder	639
2005	Bezirk Bucheggberg	SO	Motorräder	643
2006	Bezirk Bucheggberg	SO	Motorräder	646
2007	Bezirk Bucheggberg	SO	Motorräder	647
2008	Bezirk Bucheggberg	SO	Motorräder	648
2009	Bezirk Bucheggberg	SO	Motorräder	652
2010	Bezirk Bucheggberg	SO	Motorräder	654
2011	Bezirk Bucheggberg	SO	Motorräder	659
2012	Bezirk Bucheggberg	SO	Motorräder	659
2013	Bezirk Bucheggberg	SO	Motorräder	656
2014	Bezirk Bucheggberg	SO	Motorräder	657
2015	Bezirk Bucheggberg	SO	Motorräder	662
2016	Bezirk Bucheggberg	SO	Motorräder	660
2017	Bezirk Bucheggberg	SO	Motorräder	661
2018	Bezirk Bucheggberg	SO	Motorräder	663
2019	Bezirk Bucheggberg	SO	Motorräder	664
2020	Bezirk Bucheggberg	SO	Motorräder	667
2021	Bezirk Bucheggberg	SO	Motorräder	663
2022	Bezirk Bucheggberg	SO	Motorräder	665
2023	Bezirk Bucheggberg	SO	Motorräder	667
1990	Bezirk Bucheggberg	SO	Klein-Motorräder	-316
1991	Bezirk Bucheggberg	SO	Klein-Motorräder	0
1992	Bezirk Bucheggberg	SO	Klein-Motorräder	0
1993	Bezirk Bucheggberg	SO	Klein-Motorräder	2
1994	Bezirk Bucheggberg	SO	Klein-Motorräder	0
1995	Bezirk Bucheggberg	SO	Klein-Motorräder	4
1996	Bezirk Bucheggberg	SO	Klein-Motorräder	4
1997	Bezirk Bucheggberg	SO	Klein-Motorräder	7
1998	Bezirk Bucheggberg	SO	Klein-Motorräder	4
1999	Bezirk Bucheggberg	SO	Klein-Motorräder	1
2000	Bezirk Bucheggberg	SO	Klein-Motorräder	0
2001	Bezirk Bucheggberg	SO	Klein-Motorräder	0
2002	Bezirk Bucheggberg	SO	Klein-Motorräder	0
2003	Bezirk Bucheggberg	SO	Klein-Motorräder	2
2004	Bezirk Bucheggberg	SO	Klein-Motorräder	0
2005	Bezirk Bucheggberg	SO	Klein-Motorräder	0
2006	Bezirk Bucheggberg	SO	Klein-Motorräder	1
2007	Bezirk Bucheggberg	SO	Klein-Motorräder	0
2008	Bezirk Bucheggberg	SO	Klein-Motorräder	5
2009	Bezirk Bucheggberg	SO	Klein-Motorräder	1
2010	Bezirk Bucheggberg	SO	Klein-Motorräder	3
2011	Bezirk Bucheggberg	SO	Klein-Motorräder	6
2012	Bezirk Bucheggberg	SO	Klein-Motorräder	6
2013	Bezirk Bucheggberg	SO	Klein-Motorräder	6
2014	Bezirk Bucheggberg	SO	Klein-Motorräder	6
2015	Bezirk Bucheggberg	SO	Klein-Motorräder	9
2016	Bezirk Bucheggberg	SO	Klein-Motorräder	13
2017	Bezirk Bucheggberg	SO	Klein-Motorräder	15
2018	Bezirk Bucheggberg	SO	Klein-Motorräder	15
2019	Bezirk Bucheggberg	SO	Klein-Motorräder	17
2020	Bezirk Bucheggberg	SO	Klein-Motorräder	19
2021	Bezirk Bucheggberg	SO	Klein-Motorräder	19
2022	Bezirk Bucheggberg	SO	Klein-Motorräder	22
2023	Bezirk Bucheggberg	SO	Klein-Motorräder	26
1990	Bezirk Bucheggberg	SO	Gewerbe FZ	-213
1991	Bezirk Bucheggberg	SO	Gewerbe FZ	0
1992	Bezirk Bucheggberg	SO	Gewerbe FZ	2
1993	Bezirk Bucheggberg	SO	Gewerbe FZ	7
1994	Bezirk Bucheggberg	SO	Gewerbe FZ	12
1995	Bezirk Bucheggberg	SO	Gewerbe FZ	15
1996	Bezirk Bucheggberg	SO	Gewerbe FZ	19
1997	Bezirk Bucheggberg	SO	Gewerbe FZ	20
1998	Bezirk Bucheggberg	SO	Gewerbe FZ	20
1999	Bezirk Bucheggberg	SO	Gewerbe FZ	25
2000	Bezirk Bucheggberg	SO	Gewerbe FZ	30
2001	Bezirk Bucheggberg	SO	Gewerbe FZ	33
2002	Bezirk Bucheggberg	SO	Gewerbe FZ	34
2003	Bezirk Bucheggberg	SO	Gewerbe FZ	34
2004	Bezirk Bucheggberg	SO	Gewerbe FZ	29
2005	Bezirk Bucheggberg	SO	Gewerbe FZ	30
2006	Bezirk Bucheggberg	SO	Gewerbe FZ	30
2007	Bezirk Bucheggberg	SO	Gewerbe FZ	30
2008	Bezirk Bucheggberg	SO	Gewerbe FZ	35
2009	Bezirk Bucheggberg	SO	Gewerbe FZ	37
2010	Bezirk Bucheggberg	SO	Gewerbe FZ	33
2011	Bezirk Bucheggberg	SO	Gewerbe FZ	33
2012	Bezirk Bucheggberg	SO	Gewerbe FZ	31
2013	Bezirk Bucheggberg	SO	Gewerbe FZ	32
2014	Bezirk Bucheggberg	SO	Gewerbe FZ	36
2015	Bezirk Bucheggberg	SO	Gewerbe FZ	38
2016	Bezirk Bucheggberg	SO	Gewerbe FZ	40
2017	Bezirk Bucheggberg	SO	Gewerbe FZ	44
2018	Bezirk Bucheggberg	SO	Gewerbe FZ	40
