jahr;bezirk;kanton;typ;anzahl
1990;Bucheggberg;SO;Leichte Motorwagen;3143
1991;Bucheggberg;SO;Leichte Motorwagen;3224
1992;Bucheggberg;SO;Leichte Motorwagen;3156
1993;Bucheggberg;SO;Leichte Motorwagen;3242
1994;Bucheggberg;SO;Leichte Motorwagen;3365
1995;Bucheggberg;SO;Leichte Motorwagen;3331
1996;Bucheggberg;SO;Leichte Motorwagen;3384
1997;Bucheggberg;SO;Leichte Motorwagen;3349
1998;Bucheggberg;SO;Leichte Motorwagen;3292
1999;Bucheggberg;SO;Leichte Motorwagen;3357
2000;Bucheggberg;SO;Leichte Motorwagen;3430
2001;Bucheggberg;SO;Leichte Motorwagen;3565
2002;Bucheggberg;SO;Leichte Motorwagen;3710
2003;Bucheggberg;SO;Leichte Motorwagen;3816
2004;Bucheggberg;SO;Leichte Motorwagen;3880
2005;Bucheggberg;SO;Leichte Motorwagen;4020
2006;Bucheggberg;SO;Leichte Motorwagen;4096
2007;Bucheggberg;SO;Leichte Motorwagen;4155
2008;Bucheggberg;SO;Leichte Motorwagen;4210
2009;Bucheggberg;SO;Leichte Motorwagen;4305
2010;Bucheggberg;SO;Leichte Motorwagen;4375
2011;Bucheggberg;SO;Leichte Motorwagen;4315
2012;Bucheggberg;SO;Leichte Motorwagen;4250
2013;Bucheggberg;SO;Leichte Motorwagen;4308
2014;Bucheggberg;SO;Leichte Motorwagen;4410
2015;Bucheggberg;SO;Leichte Motorwagen;4552
2016;Bucheggberg;SO;Leichte Motorwagen;4629
2017;Bucheggberg;SO;Leichte Motorwagen;4575
2018;Bucheggberg;SO;Leichte Motorwagen;4639
2019;Bucheggberg;SO;Leichte Motorwagen;4583
2020;Bucheggberg;SO;Leichte Motorwagen;4627
2021;Bucheggberg;SO;Leichte Motorwagen;4716
2022;Bucheggberg;SO;Leichte Motorwagen;4866
2023;Bucheggberg;SO;Leichte Motorwagen;4986
1990;Bucheggberg;SO;Schwere Motorwagen;25
1991;Bucheggberg;SO;Schwere Motorwagen;26
1992;Bucheggberg;SO;Schwere Motorwagen;26
1993;Bucheggberg;SO;Schwere Motorwagen;26
1994;Bucheggberg;SO;Schwere Motorwagen;26
1995;Bucheggberg;SO;Schwere Motorwagen;26
1996;Bucheggberg;SO;Schwere Motorwagen;25
1997;Bucheggberg;SO;Schwere Motorwagen;25
1998;Bucheggberg;SO;Schwere Motorwagen;25
1999;Bucheggberg;SO;Schwere Motorwagen;24
2000;Bucheggberg;SO;Schwere Motorwagen;24
2001;Bucheggberg;SO;Schwere Motorwagen;24
2002;Bucheggberg;SO;Schwere Motorwagen;24
2003;Bucheggberg;SO;Schwere Motorwagen;24
2004;Bucheggberg;SO;Schwere Motorwagen;23
2005;Bucheggberg;SO;Schwere Motorwagen;22
2006;Bucheggberg;SO;Schwere Motorwagen;22
2007;Bucheggberg;SO;Schwere Motorwagen;22
2008;Bucheggberg;SO;Schwere Motorwagen;22
2009;Bucheggberg;SO;Schwere Motorwagen;22
2010;Bucheggberg;SO;Schwere Motorwagen;22
2011;Bucheggberg;SO;Schwere Motorwagen;22
2012;Bucheggberg;SO;Schwere Motorwagen;22
2013;Bucheggberg;SO;Schwere Motorwagen;22
2014;Bucheggberg;SO;Schwere Motorwagen;21
2015;Bucheggberg;SO;Schwere Motorwagen;21
2016;Bucheggberg;SO;Schwere Motorwagen;21
2017;Bucheggberg;SO;Schwere Motorwagen;21
2018;Bucheggberg;SO;Schwere Motorwagen;21
2019;Bucheggberg;SO;Schwere Motorwagen;21
2020;Bucheggberg;SO;Schwere Motorwagen;21
2021;Bucheggberg;SO;Schwere Motorwagen;21
2022;Bucheggberg;SO;Schwere Motorwagen;21
2023;Bucheggberg;SO;Schwere Motorwagen;21
1990;Bucheggberg;SO;Anhänger;418
1991;Bucheggberg;SO;Anhänger;426
1992;Bucheggberg;SO;Anhänger;442
1993;Bucheggberg;SO;Anhänger;456
1994;Bucheggberg;SO;Anhänger;471
1995;Bucheggberg;SO;Anhänger;479
1996;Bucheggberg;SO;Anhänger;489
1997;Bucheggberg;SO;Anhänger;482
1998;Bucheggberg;SO;Anhänger;501
1999;Bucheggberg;SO;Anhänger;495
2000;Bucheggberg;SO;Anhänger;503
2001;Bucheggberg;SO;Anhänger;497
2002;Bucheggberg;SO;Anhänger;491
2003;Bucheggberg;SO;Anhänger;508
2004;Bucheggberg;SO;Anhänger;521
2005;Bucheggberg;SO;Anhänger;536
2006;Bucheggberg;SO;Anhänger;551
2007;Bucheggberg;SO;Anhänger;565
2008;Bucheggberg;SO;Anhänger;573
2009;Bucheggberg;SO;Anhänger;582
2010;Bucheggberg;SO;Anhänger;596
2011;Bucheggberg;SO;Anhänger;589
2012;Bucheggberg;SO;Anhänger;582
2013;Bucheggberg;SO;Anhänger;596
2014;Bucheggberg;SO;Anhänger;614
2015;Bucheggberg;SO;Anhänger;610
2016;Bucheggberg;SO;Anhänger;624
2017;Bucheggberg;SO;Anhänger;638
2018;Bucheggberg;SO;Anhänger;633
2019;Bucheggberg;SO;Anhänger;641
2020;Bucheggberg;SO;Anhänger;654
2021;Bucheggberg;SO;Anhänger;667
2022;Bucheggberg;SO;Anhänger;659
2023;Bucheggberg;SO;Anhänger;671
1990;Bucheggberg;SO;Landw. FZ Ind. Trak.;351
1991;Bucheggberg;SO;Landw. FZ Ind. Trak.;366
1992;Bucheggberg;SO;Landw. FZ Ind. Trak.;374
1993;Bucheggberg;SO;Landw. FZ Ind. Trak.;385
1994;Bucheggberg;SO;Landw. FZ Ind. Trak.;397
1995;Bucheggberg;SO;Landw. FZ Ind. Trak.;408
1996;Bucheggberg;SO;Landw. FZ Ind. Trak.;425
1997;Bucheggberg;SO;Landw. FZ Ind. Trak.;434
1998;Bucheggberg;SO;Landw. FZ Ind. Trak.;438
1999;Bucheggberg;SO;Landw. FZ Ind. Trak.;450
2000;Bucheggberg;SO;Landw. FZ Ind. Trak.;460
2001;Bucheggberg;SO;Landw. FZ Ind. Trak.;469
2002;Bucheggberg;SO;Landw. FZ Ind. Trak.;481
2003;Bucheggberg;SO;Landw. FZ Ind. Trak.;493
2004;Bucheggberg;SO;Landw. FZ Ind. Trak.;501
2005;Bucheggberg;SO;Landw. FZ Ind. Trak.;513
2006;Bucheggberg;SO;Landw. FZ Ind. Trak.;526
2007;Bucheggberg;SO;Landw. FZ Ind. Trak.;537
2008;Bucheggberg;SO;Landw. FZ Ind. Trak.;545
2009;Bucheggberg;SO;Landw. FZ Ind. Trak.;561
2010;Bucheggberg;SO;Landw. FZ Ind. Trak.;572
2011;Bucheggberg;SO;Landw. FZ Ind. Trak.;582
2012;Bucheggberg;SO;Landw. FZ Ind. Trak.;588
2013;Bucheggberg;SO;Landw. FZ Ind. Trak.;603
2014;Bucheggberg;SO;Landw. FZ Ind. Trak.;618
2015;Bucheggberg;SO;Landw. FZ Ind. Trak.;633
2016;Bucheggberg;SO;Landw. FZ Ind. Trak.;639
2017;Bucheggberg;SO;Landw. FZ Ind. Trak.;633
2018;Bucheggberg;SO;Landw. FZ Ind. Trak.;641
2019;Bucheggberg;SO;Landw. FZ Ind. Trak.;636
2020;Bucheggberg;SO;Landw. FZ Ind. Trak.;648
2021;Bucheggberg;SO;Landw. FZ Ind. Trak.;659
2022;Bucheggberg;SO;Landw. FZ Ind. Trak.;670
2023;Bucheggberg;SO;Landw. FZ Ind. Trak.;665
1990;Bucheggberg;SO;Motorräder;468
1991;Bucheggberg;SO;Motorräder;473
1992;Bucheggberg;SO;Motorräder;480
1993;Bucheggberg;SO;Motorräder;489
1994;Bucheggberg;SO;Motorräder;510
1995;Bucheggberg;SO;Motorräder;523
1996;Bucheggberg;SO;Motorräder;531
1997;Bucheggberg;SO;Motorräder;547
1998;Bucheggberg;SO;Motorräder;555
1999;Bucheggberg;SO;Motorräder;551
2000;Bucheggberg;SO;Motorräder;546
2001;Bucheggberg;SO;Motorräder;536
2002;Bucheggberg;SO;Motorräder;552
2003;Bucheggberg;SO;Motorräder;564
2004;Bucheggberg;SO;Motorräder;553
2005;Bucheggberg;SO;Motorräder;564
2006;Bucheggberg;SO;Motorräder;573
2007;Bucheggberg;SO;Motorräder;589
2008;Bucheggberg;SO;Motorräder;599
2009;Bucheggberg;SO;Motorräder;613
2010;Bucheggberg;SO;Motorräder;629
2011;Bucheggberg;SO;Motorräder;626
2012;Bucheggberg;SO;Motorräder;643
2013;Bucheggberg;SO;Motorräder;651
2014;Bucheggberg;SO;Motorräder;659
2015;Bucheggberg;SO;Motorräder;673
2016;Bucheggberg;SO;Motorräder;686
2017;Bucheggberg;SO;Motorräder;698
2018;Bucheggberg;SO;Motorräder;710
2019;Bucheggberg;SO;Motorräder;722
2020;Bucheggberg;SO;Motorräder;737
2021;Bucheggberg;SO;Motorräder;754
2022;Bucheggberg;SO;Motorräder;767
2023;Bucheggberg;SO;Motorräder;758
